 Employee ID ,  Full Name  ,Age ,Department / Region , Annual Salary ,Bonus Amount, Join Date ,Employment Status,Job Role ,Performance Rating ,Audit Notes
1.0,Employee_1,30.0,HR," 132,000 ",75000.0,2022/09/30,Active ,Designer,4.0,ERROR
2.0,Employee_2,30.0, marketing ," 114,000 ",115000.0,11-05-2020,Inactive,DevOps,,UNKNOWN
3.0,  Employee_3  ,42.0,Engineering," 77,000 ",60000.0,11-05-2020,Active ,Developer,2.9,UNKNOWN
4.0,Employee_4,,Finance," 147,000 ",45000.0,2021-03-15,Inactive,Analyst,4.2,UNKNOWN
5.0,Employee_5,42.0,HR," 119,000 ",,1/2/2024,NONE,DevOps,4.8,N/A
6.0,  Employee_6  ,30.0,HR," 103,000 ",45000.0,2023.08.19,Active ,Analyst,4.2,Verified
7.0,Employee_7,22.0,Marketing," 57,000 ",92000.0,2021-03-15,UNKNOWN,DevOps,4.0,UNKNOWN
8.0,Employee_8,22.0,Sales," 92,000 ",60000.0,11-05-2020,UNKNOWN,Designer,2.9,UNKNOWN
9.0,  Employee_9  ,42.0,Finance," 47,000 ",75000.0,1/2/2024,Active,Director,4.0,N/A
10.0,Employee_10,28.0,Engineering," 45,000 ",,04/12/2022,UNKNOWN,DevOps,,UNKNOWN
11.0,Employee_11,28.0,Sales," 83,000 ",60000.0,04/12/2022, active,Director,5.0,UNKNOWN
12.0,  Employee_12  ,30.0,sales," 117,000 ",92000.0,2021-03-15, active,ERROR,,UNKNOWN
13.0,Employee_13,30.0,Finance," 63,000 ",60000.0,2021-03-15,UNKNOWN,Director,2.9,Verified
14.0,Employee_14,22.0,Finance," 54,000 ",115000.0,2021-03-15,Active,Designer,3.5,N/A
,  Employee_15  ,42.0,sales," 127,000 ",75000.0,2023.08.19,Active,Analyst,4.8,N/A
16.0,Employee_16,35.0,Finance," 145,000 ",60000.0,2021-03-15,UNKNOWN,Designer,3.5,N/A
17.0,Employee_17,28.0, Engineering ," 87,000 ",,2022/09/30,Inactive,Director,5.0,ERROR
18.0,  Employee_18  ,35.0, Engineering ," 138,000 ",115000.0,2020-12-01, active,Analyst,3.5,Verified
19.0,Employee_19,28.0,Marketing," 53,000 ",75000.0,2021-03-15,NONE,Designer,4.0,UNKNOWN
20.0,Employee_20,42.0,Finance," 90,000 ",45000.0,11-05-2020,Active ,Director,5.0,Verified
21.0,  Employee_21  ,30.0,Marketing," 148,000 ",75000.0,2022/09/30,UNKNOWN,ERROR,4.2,ERROR
